step,reward_0.5_0.3_0.2,reward_0.4_0.4_0.2,reward_0.6_0.2_0.2
1,-116.66522423491824,-116.98836319393573,-116.45383026684966
2,-118.03218127879828,-118.4305410412268,-117.8886349557105
3,-119.55710533041263,-119.91317135222775,-119.3607931162895
4,-121.01816677906604,-121.4027003084413,-120.7464809079935
5,-122.44115022736274,-122.82328785579534,-122.22268120193294
6,-123.87825383292173,-124.2082212359567,-123.72437440006321
7,-125.23976041882884,-125.64553956641387,-125.24846164679494
8,-126.64079421385959,-127.05713686508535,-126.69397363246135
9,-128.0596617233385,-128.52309616235587,-128.2074152425738
10,-129.45507977265092,-129.86698787271908,-129.6031169891619
11,-130.85319469634354,-131.30130453824668,-131.07357304435882
12,-132.29168895975937,-132.6512441154571,-132.5702817992553
13,-133.75215030279404,-134.14147937224848,-133.97669390311373
14,-135.13664651418398,-135.58832624478214,-135.39187787396477
15,-136.6183443699727,-136.98258258404258,-136.77730912746364
16,-138.0620083637785,-138.42015412767486,-138.28863049358392
17,-139.5663717216609,-139.83985952477474,-139.80762976771334
18,-140.96421094428948,-141.32941315623697,-141.19625332333388
19,-142.33357651167805,-142.79188693246155,-142.74841720618727
20,-143.82459519463148,-144.2761300485,-144.24070870864713
21,-145.27134705226513,-145.72309768567365,-145.68512514044045
22,-146.7361434307033,-147.1746337554944,-147.1812508909482
23,-148.11314846952683,-148.64188370861845,-148.61937962250104
24,-149.47063554715078,-150.05444005951233,-150.1082874314218
25,-150.93447597549917,-151.54631413332086,-151.5055229990914
26,-152.54494580409224,-153.0887481937841,-152.92399954107617
27,-153.91639189892507,-154.55697800042347,-154.35885885764287
28,-155.3498465089149,-155.89726821749224,-155.81712700345074
29,-156.7827842316299,-157.3142976968247,-157.30061948885876
30,-158.16396695917146,-158.7946431311084,-158.75018898474974
31,-159.61953497510117,-160.21420696507641,-160.2406826121936
32,-161.08978050379272,-161.66066709041584,-161.61287674704576
33,-162.54428223929722,-163.0824162170299,-163.04476544951245
34,-163.95096499952362,-164.4807981981908,-164.521037077828
35,-165.3354178102389,-165.9111409388982,-165.90574127054757
36,-166.67714859601614,-167.3446513436807,-167.35067771089683
37,-168.0877545319376,-168.7138801544809,-168.7412108299801
38,-169.52888768470078,-170.12723939722068,-170.13266090061632
39,-170.911738710443,-171.5565101473892,-171.55884274629094
40,-172.39877266754476,-172.99268289955694,-173.04877669761945
41,-173.75103430312132,-174.457108737282,-174.51265854960428
42,-175.1709482261649,-175.95314050128158,-175.81996202320587
43,-176.61531769704473,-177.35911075740253,-177.28230779656195
44,-178.10097663492212,-178.73641399652917,-178.7334169914704
45,-179.49662078479517,-180.1532506970752,-180.1923530811369
46,-180.94301709716217,-181.56336218625097,-181.6686110044254
47,-182.37863433479407,-183.04133273915292,-183.0830172695975
48,-183.90265519273103,-184.50541568727377,-184.5738126634472
49,-185.35682455643396,-186.00138568165312,-186.0453363352416
50,-186.8182237495832,-187.4487152193415,-187.4739117564924
51,-188.22380349898447,-188.838009474139,-188.92324254702189
52,-189.6676853120409,-190.3058320058687,-190.3568422090254
53,-191.24521403512998,-191.74421126669301,-191.79750325502098
54,-192.69679110839317,-193.1459121023949,-193.2807416924414
55,-194.2065415863519,-194.52365857810975,-194.66488278098373
56,-195.6928406528103,-196.03498958012725,-196.06086522125392
57,-197.06371455386227,-197.49120969774555,-197.5353284174792
58,-198.58576578028925,-198.95944113027997,-198.95586058787654
59,-199.99593031456908,-200.43391036658682,-200.41245140270465
60,-201.45091465381438,-201.88498488150373,-201.80980171444796
61,-202.91644866081162,-203.40914582429153,-203.21535065817264
62,-204.3973965901217,-204.85899928804852,-204.60579053329647
63,-205.8049884200212,-206.28972995390882,-206.0786387894287
64,-207.20596857305193,-207.77074833727949,-207.56655188960585
65,-208.72798171323484,-209.2251997479505,-209.0731367183007
66,-210.0879425876241,-210.65590407075655,-210.40949180322804
67,-211.57905231004088,-212.08165857343297,-211.8119696677189
68,-212.98128003415454,-213.58939303945928,-213.20152486787111
69,-214.4715011593533,-214.98743962549298,-214.6913151958519
70,-215.9208199757317,-216.38410906399633,-216.1032922548408
71,-217.41595410335634,-217.84928231131966,-217.6034453736986
72,-218.868602369578,-219.20075029859143,-219.02175324964463
73,-220.30251899068608,-220.60925549045518,-220.45614420527426
74,-221.78948526083437,-222.0242872623827,-221.90227214762527
75,-223.193820448461,-223.42164187261497,-223.35732609190129
76,-224.5904929351209,-224.89918741580942,-224.7477438981553
77,-225.85971245737636,-226.3446293902141,-226.2016476669745
78,-227.2286127564236,-227.7443048109785,-227.58497402824358
79,-228.5832844183138,-229.2100772990769,-229.02061143131542
80,-230.10334282453186,-230.65472526626618,-230.44024455657265
81,-231.63376389454012,-232.0544306878686,-231.853038763702
82,-231.5536096219617,-231.95494566426538,-231.7877464988391
83,-231.3608510636144,-231.90010378474204,-231.74853851912718
84,-231.16949357749618,-231.82563372226963,-231.69899015260575
85,-231.18098607564983,-231.7906973538656,-231.6537377230745
86,-231.21646696967227,-231.7434759996093,-231.734873390173
87,-231.15234329855684,-231.60352909584876,-231.74708746147775
88,-231.15296280439443,-231.54886528083762,-231.67678770296794
89,-231.05362491513705,-231.42395324831068,-231.69271533729648
90,-231.0290238563059,-231.43483626539822,-231.6785764840144
91,-230.64257947944114,-231.44330816549478,-231.63405092584762
92,-230.60678576950846,-231.35336257788026,-231.5794402129233
93,-230.52915808021356,-231.27218907775682,-231.6087805464752
94,-230.62683045285235,-231.22970205345695,-231.52122367772898
95,-230.6435211195335,-231.19297847426927,-231.4989893115778
96,-230.54727278073437,-231.15997813546576,-231.42113543133826
97,-230.44862021802717,-231.1789700700504,-231.37550374016223
98,-230.33169373617733,-231.1464433106706,-231.26555496299133
99,-230.26330090694694,-231.17457140007588,-231.21298082573975
100,-230.1914983080788,-231.08910932248912,-231.14317198978455
101,-230.19279997669025,-231.00501309984304,-231.12047126117878
102,-230.18692604242753,-230.91652107996418,-231.0726586071669
103,-230.05717102652685,-230.86914565504009,-230.95871085113305
104,-229.98252279843237,-230.72468200873539,-230.92546474075013
105,-229.78065808448287,-230.76927198393602,-230.90265526731494
106,-229.61977970546786,-230.81852299728482,-230.87041032611188
107,-229.67336695963587,-230.78496834447083,-230.8899033006892
108,-229.65381589391,-230.76267596710812,-230.80026395405673
109,-229.62303638420423,-230.76607840942694,-230.78549987983976
110,-229.63444850890718,-230.62747927856748,-230.8230941611213
111,-229.5882953549721,-230.53157488106058,-230.8386020150403
112,-229.47656072713573,-230.43220977943702,-230.71310745441383
113,-229.48007966823684,-230.43708796694827,-230.71541013536356
114,-229.50132409425999,-230.34241704036017,-230.65717162886278
115,-229.39550478249595,-230.3282550921373,-230.64234973855937
116,-229.31065919909963,-230.21139669573984,-230.5474310806651
117,-229.18659623297998,-230.14649247661754,-230.46694985706367
118,-229.11130418802637,-230.08906221447137,-230.52988282113176
119,-228.97775140522623,-229.95428721993122,-230.43007842498253
120,-228.8214414777105,-229.89433286614354,-230.4003196061966
121,-228.85591737103175,-229.69343486475051,-230.48456335170147
122,-228.7303389574112,-229.6174559401898,-230.45893968312785
123,-228.58859027366483,-229.5777076056155,-230.47749499488052
124,-228.60773455000785,-229.58021660463282,-230.4546245642114
125,-228.43652904756635,-229.63375480291137,-230.31413798948668
126,-228.48113523160987,-229.59494623902503,-230.1840585803218
127,-228.39980654607518,-229.5687932019602,-230.19634096454013
128,-228.45543750594396,-229.41359434009053,-230.1654448455181
129,-228.23955567760143,-229.31590075552182,-230.1402404164302
130,-228.0861206480926,-229.33611805909817,-230.08003731298157
131,-227.92106560613794,-229.2099813585117,-230.00938943695013
132,-227.83695370367576,-229.14853020927393,-229.93526476169964
133,-227.91953040482605,-229.14266063119754,-229.83674952644978
134,-227.95953935941688,-229.0935581351114,-229.87530953857362
135,-227.8441487487551,-229.1907612139197,-229.76591326687642
136,-227.88786828600132,-229.14494589199643,-229.7975166305916
137,-227.7699641802326,-229.17577936987658,-229.92295829976626
138,-227.6724312942083,-229.12449684438442,-229.9421613969617
139,-227.54519062495672,-229.12028808516723,-229.91055198533365
140,-227.5898358469801,-229.06182811409644,-229.85697262755718
141,-227.53160623251256,-228.99693329915058,-229.7790707203955
142,-227.59296317713506,-229.17019201880748,-229.69412337868218
143,-227.6410440395076,-229.22263496863036,-229.64783563578547
144,-227.5739798966578,-229.12536656916132,-229.63627147657067
145,-227.4633745572223,-229.10133546123137,-229.59076073530193
146,-227.4107411348468,-229.017044710092,-229.54686024661257
147,-227.4515522755749,-229.00616082623097,-229.5757264085311
148,-227.42792842951746,-228.8209086714487,-229.5211977267956
149,-227.3207598303329,-228.786315923335,-229.48482072263445
150,-227.5025022190234,-228.58959960671046,-229.3752115729534
151,-227.50357983646063,-228.4469623512087,-229.38442492009824
152,-227.31043157521782,-228.47373774817584,-229.3349286051806
153,-227.22580931098457,-228.45216345828345,-229.3029833842209
154,-227.11106364250065,-228.4243772762823,-229.28514077796552
155,-227.1449999404054,-228.33637953145615,-229.27520541507735
156,-227.06218278324008,-228.24268597665673,-229.27829982928168
157,-227.14327583365178,-228.25245935514093,-229.19924626667867
158,-227.1386986609303,-228.33203070141406,-229.17612098995875
159,-227.10150206301995,-228.15536734311235,-229.20518850436343
160,-227.00435450041022,-228.2413194089669,-229.28860800886412
161,-226.98546229730127,-228.26177123842234,-229.2896807208183
162,-227.00320513447988,-228.24239563294847,-229.30616764570664
163,-226.97386501988342,-228.11587994903817,-229.2065891890586
164,-227.0028423100958,-228.1199431550648,-229.26345350559654
165,-226.96829390734106,-228.13708320108026,-229.18452211018106
166,-226.96109587968664,-228.20630308026605,-229.10761853577486
167,-227.0258152629263,-228.1494023336568,-228.97425357464942
168,-226.98789031572463,-228.15101883472892,-228.95311947124367
169,-227.01947633459127,-228.1075875001598,-228.8463428398343
170,-227.1543504326579,-228.1781771860389,-228.8189364398513
171,-227.05729110367258,-228.1128701600219,-228.74505664694323
172,-226.9447228115604,-228.11591202131177,-228.68818610556343
173,-226.81061666463648,-227.98296212264938,-228.76583792670152
174,-226.88257490527064,-227.91421635307344,-228.76834894720636
175,-226.7983607930228,-227.8599212245577,-228.78018061250157
176,-226.81889091552094,-227.87060941454905,-228.67627400451644
177,-226.71046260067985,-227.8370804666954,-228.6031723600926
178,-226.72447817106686,-227.64154443050256,-228.62162985856645
179,-226.8077494058304,-227.6690342455841,-228.45728061210886
180,-226.68013409527936,-227.6134586245078,-228.32507957242052
181,-226.63936692636264,-227.61843041409276,-228.30127515178577
182,-226.46881635292542,-227.55650395188843,-228.12494211374974
183,-226.47785128629278,-227.42475805871646,-228.0440349048934
184,-226.65426594582607,-227.3896676775874,-227.9603253899963
185,-226.68265785855993,-227.3104012353727,-227.96457779572177
186,-226.34432632974986,-227.14456868869507,-227.90510578047198
187,-226.3828118537208,-227.09185908061642,-227.91724791456105
188,-226.32531051787524,-227.14415821592218,-227.89973698684264
189,-226.2809973155021,-227.0995899947301,-227.87500329349
190,-226.20903656069703,-226.9382993500585,-227.84525274385834
191,-226.249340470304,-226.89864636900563,-227.7970513476337
192,-226.09265110561842,-226.8427196268285,-227.84800022819337
193,-225.95529853692528,-226.72605879168168,-227.82703503479334
194,-225.93603299472173,-226.81962044366765,-227.81186908061107
195,-225.91581521642607,-226.7936086847676,-227.7851357793557
196,-225.9821316886432,-226.7946237033937,-227.7044988495878
197,-226.0532412189406,-226.83610836615625,-227.7399992460062
198,-225.966106094289,-226.79373612683867,-227.70155691326414
199,-225.95574323772993,-226.7175554698083,-227.66917577737595
200,-225.83974782723558,-226.70459560942533,-227.5461833533242
201,-225.84615403012143,-226.6073838075153,-227.54112206666804
202,-225.84575016653116,-226.55176930613277,-227.65417368961448
203,-225.70262034055378,-226.6039227175736,-227.5758028639805
204,-225.6014595655477,-226.62115960329965,-227.53816541644375
205,-225.56001952770134,-226.61218929980032,-227.4929404264389
206,-225.51332550088944,-226.52959229081273,-227.42773998838976
207,-225.40274848278344,-226.34899482051122,-227.40602784560355
208,-225.2567133680169,-226.3103429033444,-227.3175429342721
209,-225.19088750216017,-226.29595464297262,-227.19387309505427
210,-225.0448503510934,-226.30913894050767,-227.20847473318142
211,-225.11917836314575,-226.35520687349754,-227.16146488455402
212,-225.0737643537014,-226.27361708340322,-227.10712553610045
213,-224.9131344306981,-226.24319280141935,-227.11855128301835
214,-224.82268485130444,-226.2959577533361,-227.05344256867147
215,-224.67704958844578,-226.22972074850367,-227.06781473846516
216,-224.57301420321713,-226.0823145851095,-227.02029891989594
217,-224.62362405246068,-225.93839851443096,-226.94533822724327
218,-224.48396688947565,-225.94911316963893,-226.90079063098528
219,-224.43637646832752,-225.80926893821473,-226.8175216045535
220,-224.3719140573362,-225.75922384708446,-226.92750758620593
221,-224.22428703024266,-225.64723605570043,-226.92273041247117
222,-224.08884138099194,-225.5898100376122,-226.95220768107487
223,-224.05982880956594,-225.58519835470412,-226.8263618181303
224,-224.1701839382045,-225.50397521145544,-226.71541230582724
225,-224.03954422414228,-225.39801495322646,-226.57898062936817
226,-224.0229560286977,-225.45194389780326,-226.62588800709642
227,-223.9260980647631,-225.34838248812022,-226.62202201161892
228,-223.8850722556428,-225.21439691266127,-226.60346715013924
229,-223.78546592283192,-225.21342163888872,-226.5166034155423
230,-223.7007741851382,-225.16456291266746,-226.45838558414493
231,-223.5042607249083,-225.07376626685772,-226.40003313410915
232,-223.38450812793513,-225.13598737061025,-226.3443108429774
233,-223.40034078029913,-225.15466607818314,-226.32482162104117
234,-223.38323409319202,-225.06006218223752,-226.25430559234496
235,-223.3303237645532,-225.12251922191845,-226.25907632808725
236,-223.24400137664685,-225.0444492595994,-226.25922273451425
237,-223.44395842488348,-225.05512946061873,-226.21145707142023
238,-223.46234817320874,-225.02236118466595,-226.23009535870028
239,-223.34939477262057,-224.95067332862487,-226.2607983821625
240,-223.2193825945463,-224.9538957308451,-226.2397832612751
241,-222.9215410027947,-224.98398728132952,-226.22177038647857
242,-222.90558193716737,-224.95762674396335,-226.27204263983305
243,-222.99691526381528,-224.9064542877334,-226.28999474040938
244,-223.13009339211715,-224.96141413518416,-226.3310471150346
245,-223.117845480692,-224.94751752785533,-226.32437049668334
246,-223.1344957291669,-224.9412170344467,-226.19665502041016
247,-223.13204132326223,-224.943737642059,-226.15343325687985
248,-223.06732665951506,-224.87938817282264,-226.174432493923
249,-223.0525158696369,-224.9220936588868,-226.1306627215028
250,-223.0695754190652,-224.81608735836664,-226.1038202095977
251,-223.095558193348,-224.7602169445363,-226.12566328926786
252,-223.0688739563377,-224.830954441129,-226.1736089794988
253,-223.14317441090955,-224.68170030942733,-226.10227552614012
254,-222.96989032988887,-224.6078350310283,-225.98839203482507
255,-223.07704206522078,-224.60191558875584,-225.97825695267025
256,-222.96310933220303,-224.6099143410243,-225.88023474626902
257,-223.01560140573477,-224.5332186904273,-225.79380342203265
258,-223.0676965946219,-224.47908899157875,-225.76964862051608
259,-223.05453178577005,-224.45395439739823,-225.7471044867391
260,-222.97472496967293,-224.4569632962,-225.64953266706317
261,-222.9761533971378,-224.44229209939894,-225.59566071115734
262,-222.81377102639516,-224.42633824517634,-225.53628276107173
263,-222.75795458705272,-224.4319555768046,-225.5273819963047
264,-222.7572899547436,-224.44428087310718,-225.48960743911704
265,-222.89101925099982,-224.34676851404163,-225.46701798287722
266,-223.07463151945495,-224.31865128381128,-225.3985761674324
267,-222.86917085183742,-224.30531816950744,-225.2972198715068
268,-222.86054175298446,-224.34999555937168,-225.3011565729965
269,-222.79855978248267,-224.30099591470645,-225.27545028487916
270,-222.8014880574682,-224.3016676675308,-225.27524072713686
271,-222.826676651049,-224.23724290091585,-225.2377078174772
272,-222.82365464893434,-224.374166691693,-225.21668235511322
273,-222.73271291961618,-224.28943417331135,-225.32403400088089
274,-222.67464039913796,-224.29931467410702,-225.39434760851762
275,-222.66186815456425,-224.24094912717118,-225.42553696247577
276,-222.62842024065876,-224.2022799029827,-225.35431806645596
277,-222.58323647737737,-224.13630720660765,-225.37161324117946
278,-222.56401043713487,-224.09652024189617,-225.32963920732715
279,-222.59202752795534,-224.05125018359743,-225.36029041196446
280,-222.63475991032908,-224.01752593266977,-225.27681557571572
281,-222.57033728985533,-224.07762640764287,-225.19945646656703
282,-222.4941206132959,-224.14058514562615,-225.18320503765096
283,-222.48479129077705,-224.13556329075064,-225.22298128990008
284,-222.38041595668872,-224.06925255988523,-225.20299514439898
285,-222.55351933035388,-224.01834979088352,-225.2006501743637
286,-222.3536084062717,-223.9892243032067,-225.21335722664378
287,-222.36054078396074,-224.06403082505517,-225.07215321644685
288,-222.28986634383853,-223.99848328621778,-225.04249197932006
289,-222.3073039138115,-223.97829008769264,-225.05382284475795
290,-222.24558532233817,-223.92863625215864,-225.0578228775373
291,-222.42637429204015,-223.9941505437224,-225.08844535789166
292,-222.3385772691417,-223.96243468901048,-225.15025052073503
293,-222.25327109653585,-223.84143270382472,-225.17276942927325
294,-222.04111133748165,-223.74639120156786,-225.15288218421955
295,-221.97648228145903,-223.5618673188833,-225.21947397786454
296,-221.79453987303145,-223.61896073924078,-225.17619687051194
297,-221.80642243323416,-223.56219788999763,-224.9997845690691
298,-221.80826527077198,-223.40094665066198,-224.8736845190429
299,-221.9116533523185,-223.34915234679073,-224.85981249463663
300,-221.75957947387803,-223.28566229007996,-224.891544975434
301,-221.60827118566422,-223.32122675269056,-224.78965562804277
302,-221.40993589656688,-223.10498028099397,-224.68404700263181
303,-221.27367313130762,-223.0034137000772,-224.58761851320503
304,-221.2415104391893,-223.0461795630636,-224.62074307217804
305,-221.27724938152062,-222.92919872060008,-224.5314679015908
306,-221.25209528334418,-222.96879032926438,-224.54358683539692
307,-221.2233579155553,-222.87542066907997,-224.55276638387758
308,-221.25160442897004,-222.86297420275207,-224.5427943875389
309,-221.33530028055588,-222.73978155591317,-224.51848390179282
310,-221.06280901908036,-222.74880888826715,-224.49198888409143
311,-220.9969455080481,-222.73284036285548,-224.49415802015784
312,-220.95260208572142,-222.81702170866924,-224.4406384019546
313,-220.90871359389072,-222.7652339035788,-224.4203049137575
314,-220.88735435537703,-222.8155236411144,-224.32993753538653
