alpha,beta,gamma,normalized_total_cost
0.1,0.1,0.8,1.4593583830824497
0.15,0.1,0.75,1.3743996723785443
0.2,0.1,0.7000000000000001,1.2644995636281562
0.25,0.1,0.65,1.220143913781273
0.3,0.1,0.6,1.144821564272671
0.35,0.1,0.55,1.1141810692089134
0.4,0.1,0.5,1.073039346188275
0.45,0.1,0.45000000000000007,1.074666581510147
0.5,0.1,0.4,1.0679632957081326
0.55,0.1,0.35,1.077593182903089
0.6,0.1,0.30000000000000004,1.0651413294707637
0.65,0.1,0.24999999999999997,1.094106817912575
0.7,0.1,0.20000000000000004,1.1517433504595636
0.75,0.1,0.15,1.1808557011820162
0.8,0.1,0.09999999999999995,1.2381259867590024
0.1,0.15,0.75,1.3964259474547773
0.15,0.15,0.7,1.3073483336250904
0.2,0.15,0.65,1.2373604825372608
0.25,0.15,0.6,1.1679129475157994
0.3,0.15,0.5499999999999999,1.1051452282573226
0.35,0.15,0.5,1.0856161005780416
0.4,0.15,0.44999999999999996,1.050473959910244
0.45,0.15,0.4,1.0219192658059055
0.5,0.15,0.35,1.0265099078032467
0.55,0.15,0.29999999999999993,1.0209647365419479
0.6,0.15,0.25,1.0267470225418087
0.65,0.15,0.19999999999999998,1.0674532046026084
0.7,0.15,0.15000000000000005,1.1289907575509854
0.75,0.15,0.1,1.1696225554406157
0.1,0.2,0.7,1.3332411934784638
0.15,0.2,0.6499999999999999,1.2337404531055987
0.2,0.2,0.6000000000000001,1.158056565793967
0.25,0.2,0.55,1.1085671912947723
0.3,0.2,0.49999999999999994,1.0549602407956093
0.35,0.2,0.45,1.0247128244736208
0.4,0.2,0.39999999999999997,1.0000606531702154
0.45,0.2,0.35000000000000003,0.9664293226368436
0.5,0.2,0.3,0.9701944315024855
0.55,0.2,0.24999999999999994,0.9842452965672539
0.6,0.2,0.2,1.0134852365260407
0.65,0.2,0.14999999999999997,1.0451838447324893
0.7,0.2,0.10000000000000003,1.069849201599187
0.1,0.25,0.65,1.263178010318128
0.15,0.25,0.6,1.1857664357249798
0.2,0.25,0.55,1.1374331340479382
0.25,0.25,0.5,1.0644394926574745
0.3,0.25,0.44999999999999996,1.0251518550860923
0.35,0.25,0.4,0.994129829617867
0.4,0.25,0.35,0.9806059673219192
0.45,0.25,0.30000000000000004,0.9394786233253392
0.5,0.25,0.25,0.9684293633976175
0.55,0.25,0.19999999999999996,0.9720602259802262
0.6,0.25,0.15000000000000002,1.0078866278005707
0.65,0.25,0.09999999999999998,1.0389873336347952
0.7,0.25,0.050000000000000044,1.0691909888214164
0.1,0.3,0.6000000000000001,1.2277701449854785
0.15,0.3,0.55,1.166931409303984
0.2,0.3,0.5,1.0793168154089714
0.25,0.3,0.45,1.0405948526136886
0.3,0.3,0.39999999999999997,0.9858242984389074
0.35,0.3,0.35000000000000003,0.960105274962764
0.4,0.3,0.3,0.9165691867815478
0.45,0.3,0.25000000000000006,0.9329910759107514
0.5,0.3,0.2,0.9381909902030149
0.55,0.3,0.14999999999999997,0.9446080747065149
0.6,0.3,0.10000000000000003,0.9757381997531189
0.1,0.35,0.55,1.191867684912438
