concurrency,task_size_norm,predicted_latency_ms
2,0.5,140.3725333846277
3,0.5,157.6954323896687
4,0.5,175.44565909194523
5,0.5,190.28839281443044
6,0.5,214.49439683372273
7,0.5,225.54773218263685
8,0.5,240.96814858969014
9,0.5,252.98771046730198
10,0.5,264.8209617659224
2,0.75,166.01977362005076
3,0.75,172.38761051598507
4,0.75,191.84936203968442
5,0.75,211.47019972385198
6,0.75,233.82528568982886
7,0.75,247.47136986707287
8,0.75,260.3687972495445
9,0.75,281.19728337851177
10,0.75,289.5186755916482
2,1.0,178.35247340854423
3,1.0,198.37722822123152
4,1.0,206.79250364516201
5,1.0,229.12854633220013
6,1.0,246.3270178667278
7,1.0,263.2323996629507
8,1.0,275.86979294143254
9,1.0,297.30833773394795
10,1.0,313.8834741377174
2,1.25,191.35117634222104
3,1.25,213.09031250640354
4,1.25,232.5518754556758
5,1.25,244.14045364385686
6,1.25,265.485538847237
7,1.25,285.8924367816023
8,1.25,303.6979036270178
9,1.25,316.78535282651916
10,1.25,338.21640268452717
2,1.5,208.2713430163513
3,1.5,229.95283956337397
4,1.5,243.7828428025027
5,1.5,259.93490587472775
6,1.5,284.5983211652417
7,1.5,304.13903015729176
8,1.5,322.1187453278937
9,1.5,336.04808151059603
10,1.5,349.5808675152186
2,1.75,227.6206316221335
3,1.75,248.62610580188414
4,1.75,257.8158434206413
5,1.75,281.83365129010963
6,1.75,299.1907453889883
7,1.75,321.9883680379139
8,1.75,344.5101769722283
9,1.75,359.05109968601397
10,1.75,377.48134701968644
2,2.0,242.17295716989796
3,2.0,254.627917928243
4,2.0,283.5133200583724
5,2.0,304.17323990504826
6,2.0,321.01404834563647
7,2.0,339.6806650483396
8,2.0,360.1552786205418
9,2.0,380.16784713782977
10,2.0,400.8275179850133
2,2.25,252.31863359886245
3,2.25,278.9917296503836
4,2.25,297.39825239200576
5,2.25,319.3118543046183
6,2.25,338.26595991518
7,2.25,361.89249370925734
8,2.25,385.488106543334
9,2.25,402.87599387123066
10,2.25,418.08958537913935
2,2.5,273.0129503367499
3,2.5,295.12936867937276
4,2.5,315.835921904097
5,2.5,335.2020594314404
6,2.5,358.86280024610767
7,2.5,383.0247443418046
8,2.5,401.1122830794707
9,2.5,427.63965565482334
10,2.5,443.0490895598597
