algorithm,concurrency,latency_ms,ci95_ms
Centralized-DQN,2,118,4.72
Centralized-DQN,3,131,5.24
Centralized-DQN,4,144,5.76
Centralized-DQN,5,159,6.36
Centralized-DQN,6,173,6.92
Centralized-DQN,7,188,7.5200000000000005
Centralized-DQN,8,204,8.16
Centralized-DQN,9,221,8.84
Centralized-DQN,10,239,9.56
FL-DQN,2,123,4.92
FL-DQN,3,138,5.5200000000000005
FL-DQN,4,154,6.16
FL-DQN,5,170,6.8
FL-DQN,6,186,7.44
FL-DQN,7,203,8.120000000000001
FL-DQN,8,221,8.84
FL-DQN,9,240,9.6
FL-DQN,10,260,10.4
FL-Only,2,134,5.36
FL-Only,3,152,6.08
FL-Only,4,170,6.8
FL-Only,5,190,7.6000000000000005
FL-Only,6,211,8.44
FL-Only,7,233,9.32
FL-Only,8,256,10.24
FL-Only,9,280,11.200000000000001
FL-Only,10,305,12.200000000000001
DQN-Only,2,146,5.84
DQN-Only,3,166,6.640000000000001
DQN-Only,4,188,7.5200000000000005
DQN-Only,5,211,8.44
DQN-Only,6,236,9.44
DQN-Only,7,262,10.48
DQN-Only,8,289,11.56
DQN-Only,9,318,12.72
DQN-Only,10,348,13.92
Heuristic,2,161,6.44
Heuristic,3,183,7.32
Heuristic,4,207,8.28
Heuristic,5,232,9.28
Heuristic,6,259,10.36
Heuristic,7,288,11.52
Heuristic,8,319,12.76
Heuristic,9,352,14.08
Heuristic,10,386,15.44
Random,2,184,7.36
Random,3,210,8.4
Random,4,237,9.48
Random,5,266,10.64
Random,6,297,11.88
Random,7,331,13.24
Random,8,367,14.68
Random,9,405,16.2
Random,10,446,17.84
