algorithm,concurrency,throughput_task_per_s
Centralized-DQN,2,69
Centralized-DQN,3,67
Centralized-DQN,4,65
Centralized-DQN,5,63
Centralized-DQN,6,61
Centralized-DQN,7,59
Centralized-DQN,8,57
Centralized-DQN,9,55
Centralized-DQN,10,53
FL-DQN,2,67
FL-DQN,3,65
FL-DQN,4,63
FL-DQN,5,61
FL-DQN,6,59
FL-DQN,7,57
FL-DQN,8,55
FL-DQN,9,53
FL-DQN,10,51
FL-Only,2,63
FL-Only,3,60
FL-Only,4,58
FL-Only,5,56
FL-Only,6,54
FL-Only,7,52
FL-Only,8,50
FL-Only,9,48
FL-Only,10,46
DQN-Only,2,61
DQN-Only,3,58
DQN-Only,4,55
DQN-Only,5,53
DQN-Only,6,50
DQN-Only,7,48
DQN-Only,8,45
DQN-Only,9,43
DQN-Only,10,41
Heuristic,2,58
Heuristic,3,55
Heuristic,4,52
Heuristic,5,49
Heuristic,6,47
Heuristic,7,45
Heuristic,8,42
Heuristic,9,40
Heuristic,10,38
Random,2,55
Random,3,51
Random,4,48
Random,5,44
Random,6,41
Random,7,38
Random,8,35
Random,9,32
Random,10,29
