algorithm,latency_ms
Centralized-DQN,214.14151239263293
Centralized-DQN,173.80047681278512
Centralized-DQN,227.5135358741937
Centralized-DQN,233.2169414917364
Centralized-DQN,146.4689443403849
Centralized-DQN,165.93461479413045
Centralized-DQN,208.83521209501856
Centralized-DQN,195.51272222969254
Centralized-DQN,204.49596527487134
Centralized-DQN,179.4086821727926
Centralized-DQN,231.38193924588487
Centralized-DQN,228.33375806286844
Centralized-DQN,206.9809209268365
Centralized-DQN,238.81723620904097
Centralized-DQN,219.02528026756136
Centralized-DQN,179.22122611350284
Centralized-DQN,216.06252352247498
Centralized-DQN,176.23352197513003
Centralized-DQN,231.35350903921818
Centralized-DQN,203.5022226704124
Centralized-DQN,199.4541290936422
Centralized-DQN,184.57211366788175
Centralized-DQN,241.6762401602209
Centralized-DQN,200.36411553793593
Centralized-DQN,192.15016533510678
Centralized-DQN,194.43599348535312
Centralized-DQN,220.96927556660046
Centralized-DQN,215.96332193092235
Centralized-DQN,217.38197834787965
Centralized-DQN,217.9246300902365
Centralized-DQN,269.24942802611383
Centralized-DQN,192.80754950846153
Centralized-DQN,189.63271812785388
Centralized-DQN,180.58681815256367
Centralized-DQN,223.47938267726488
Centralized-DQN,238.86916878162674
Centralized-DQN,201.58157627035374
Centralized-DQN,179.79530569112416
Centralized-DQN,180.2655635292628
Centralized-DQN,224.51778363474102
Centralized-DQN,227.29762513610328
Centralized-DQN,221.29462804915585
Centralized-DQN,185.03470878133916
Centralized-DQN,211.9648396920016
Centralized-DQN,208.50057427422183
Centralized-DQN,211.5606579018704
Centralized-DQN,231.1428633384457
Centralized-DQN,211.70786646324046
Centralized-DQN,225.36740689215685
Centralized-DQN,207.02737208466675
Centralized-DQN,213.67358196069952
Centralized-DQN,223.9386467751562
Centralized-DQN,161.28532540433002
Centralized-DQN,195.40986350928097
Centralized-DQN,190.88882037121613
Centralized-DQN,185.83366455269973
Centralized-DQN,196.7457324631995
Centralized-DQN,249.84823933703188
Centralized-DQN,179.02506652920272
Centralized-DQN,234.04835063774442
Centralized-DQN,154.51390685152586
Centralized-DQN,194.95344910042675
Centralized-DQN,209.88259195315015
Centralized-DQN,222.58666994077834
Centralized-DQN,226.33679739378564
Centralized-DQN,228.80041705599774
Centralized-DQN,194.53824783254686
Centralized-DQN,191.129446220063
Centralized-DQN,230.7392764377146
Centralized-DQN,199.26087025355156
Centralized-DQN,166.72941029986234
Centralized-DQN,171.0013835798956
Centralized-DQN,177.41643141995166
Centralized-DQN,219.91482232161292
Centralized-DQN,209.27277208211694
Centralized-DQN,225.71456062203305
Centralized-DQN,192.18242060990397
Centralized-DQN,209.75619073230143
Centralized-DQN,223.7677118190201
Centralized-DQN,195.71960380839283
Centralized-DQN,218.70325712672235
Centralized-DQN,185.14222176800047
Centralized-DQN,194.10838460304785
Centralized-DQN,193.54786318005011
Centralized-DQN,169.1248106323288
Centralized-DQN,219.60917442356745
Centralized-DQN,190.9179297939183
Centralized-DQN,205.37482356183062
Centralized-DQN,219.42239976717727
Centralized-DQN,218.39593528089833
