algorithm,energy_j
Centralized-DQN,2.066595430985858
Centralized-DQN,2.2839384965070773
Centralized-DQN,1.765910507486097
Centralized-DQN,1.7943275927357432
Centralized-DQN,1.8718770971429506
Centralized-DQN,1.9870961482714113
Centralized-DQN,1.9423528936603058
Centralized-DQN,2.059232560427618
Centralized-DQN,1.660757020673631
Centralized-DQN,2.011435090013925
Centralized-DQN,1.7489935763960092
Centralized-DQN,1.8869758689663947
Centralized-DQN,2.3135263397198296
Centralized-DQN,1.5978448568603116
Centralized-DQN,1.855610695271569
Centralized-DQN,1.626321614059632
Centralized-DQN,1.9552668613367283
Centralized-DQN,2.16151286370586
Centralized-DQN,1.9590885393817197
Centralized-DQN,1.8931086673914632
Centralized-DQN,2.2260638966135926
Centralized-DQN,1.996147760971502
Centralized-DQN,2.1088280193742412
Centralized-DQN,2.0847953019291188
Centralized-DQN,1.2573142108822823
Centralized-DQN,1.9023355071849335
Centralized-DQN,1.6716116423697363
Centralized-DQN,1.728925387586259
Centralized-DQN,2.2597446391277476
Centralized-DQN,1.8336448023576748
Centralized-DQN,2.3560477123137042
Centralized-DQN,1.5956685879695949
Centralized-DQN,1.6703222522240944
Centralized-DQN,2.0956455922833337
Centralized-DQN,1.8413480018476396
Centralized-DQN,1.9908082183528817
Centralized-DQN,1.8941245072044095
Centralized-DQN,1.8871504347726318
Centralized-DQN,1.8499040097641295
Centralized-DQN,1.9613552702379424
Centralized-DQN,2.067833461446429
Centralized-DQN,2.2919628635840583
Centralized-DQN,1.8733411118570147
Centralized-DQN,1.8293057366854941
Centralized-DQN,1.7996248573918159
Centralized-DQN,2.2586382001994876
Centralized-DQN,2.0790508562950234
Centralized-DQN,1.4824626985486455
Centralized-DQN,1.4723049900757135
Centralized-DQN,1.7287546645636411
Centralized-DQN,1.9730255103101277
Centralized-DQN,1.9122884799240136
Centralized-DQN,2.038604978344784
Centralized-DQN,1.8795778309209723
Centralized-DQN,2.2419652849257083
Centralized-DQN,2.097894461669533
Centralized-DQN,1.937873650279454
Centralized-DQN,2.1838862047950576
Centralized-DQN,1.540092005917773
Centralized-DQN,1.9003987862019323
Centralized-DQN,1.9516828353318878
Centralized-DQN,2.058709209589058
Centralized-DQN,1.5248257529482858
Centralized-DQN,1.8600022486561194
Centralized-DQN,2.0122661674792877
Centralized-DQN,2.0299381539219463
Centralized-DQN,2.1932843154710477
Centralized-DQN,2.095450828586514
Centralized-DQN,1.9059810702246816
Centralized-DQN,2.075513951757793
Centralized-DQN,1.8736058183682125
Centralized-DQN,1.9538167187165612
Centralized-DQN,2.1031224614739523
Centralized-DQN,1.909562697249475
Centralized-DQN,2.003402422164135
Centralized-DQN,2.1414855404506397
Centralized-DQN,2.084082783914278
Centralized-DQN,2.2041919155950676
Centralized-DQN,2.4564744878483507
Centralized-DQN,2.0819545589814394
Centralized-DQN,1.8137181961563444
Centralized-DQN,2.037924030217682
Centralized-DQN,2.028015763159392
Centralized-DQN,2.061352863784792
Centralized-DQN,2.2644517433634905
Centralized-DQN,1.531980708330085
Centralized-DQN,2.2687882732023708
Centralized-DQN,2.346336046400589
Centralized-DQN,2.050883480817457
Centralized-DQN,2.0564279227138096
Centralized-DQN,1.8643250364074113
Centralized-DQN,1.9214570472537689
Centralized-DQN,2.080808177467734
Centralized-DQN,2.065970471294283
Centralized-DQN,2.0860515217927804
Centralized-DQN,2.0643844388973966
Centralized-DQN,2.126989050042402
Centralized-DQN,2.101243853564693
Centralized-DQN,1.6839900675240655
Centralized-DQN,2.1117545572242156
Centralized-DQN,2.3482183564222985
Centralized-DQN,1.9138651963494753
Centralized-DQN,2.265480180015163
Centralized-DQN,1.7086551629003695
Centralized-DQN,1.9131426924417556
Centralized-DQN,1.7722771618230087
Centralized-DQN,2.2377725765584433
Centralized-DQN,2.2979657981357993
Centralized-DQN,1.8971452139318257
Centralized-DQN,2.1898125748212904
Centralized-DQN,2.300304375068928
Centralized-DQN,1.9124154951256314
Centralized-DQN,1.949894771358025
Centralized-DQN,2.089024981162057
Centralized-DQN,1.7258792490577264
Centralized-DQN,1.9453664859374347
Centralized-DQN,2.4136981492689262
Centralized-DQN,1.8047968849343317
Centralized-DQN,2.116721565858781
Centralized-DQN,2.0406845443899675
Centralized-DQN,1.8822683346348397
Centralized-DQN,1.9710693334063238
Centralized-DQN,2.3238036306138845
Centralized-DQN,2.047548782571871
Centralized-DQN,2.083542210799395
Centralized-DQN,2.2888386730564045
Centralized-DQN,1.853319835315622
Centralized-DQN,1.6787908047733604
Centralized-DQN,2.3274272390224002
Centralized-DQN,1.9514546187152864
Centralized-DQN,2.1258856358743325
Centralized-DQN,1.7443593556332992
Centralized-DQN,2.009516460728716
Centralized-DQN,1.667266686367828
Centralized-DQN,1.9346856590733525
Centralized-DQN,1.7707184981349242
Centralized-DQN,1.7177884412361482
Centralized-DQN,1.8501605369780911
Centralized-DQN,1.3916027958601251
Centralized-DQN,1.6527584783360563
Centralized-DQN,2.1002682216023794
Centralized-DQN,2.0001023361517962
Centralized-DQN,1.6725073274198152
Centralized-DQN,2.0462300704047514
Centralized-DQN,1.7176597081762055
Centralized-DQN,2.0863404757432518
Centralized-DQN,1.8933567574743952
Centralized-DQN,1.8450916261496078
Centralized-DQN,1.8990189410931944
Centralized-DQN,2.509715356415779
Centralized-DQN,1.7451721299020504
Centralized-DQN,1.9721991167077735
Centralized-DQN,2.1000273506670424
Centralized-DQN,1.6982600795699094
Centralized-DQN,1.552682994261673
Centralized-DQN,1.7815069878615153
Centralized-DQN,2.094980321535483
Centralized-DQN,1.8412024047218036
Centralized-DQN,1.8667531934144197
Centralized-DQN,2.129841327657695
Centralized-DQN,1.7342185544843844
Centralized-DQN,1.8995507763119348
Centralized-DQN,1.571211024080605
Centralized-DQN,1.9938936715912232
Centralized-DQN,1.9728784299805617
Centralized-DQN,2.1032915630977267
Centralized-DQN,1.6561329872629127
Centralized-DQN,1.8757891013900352
Centralized-DQN,1.6254404289504336
Centralized-DQN,1.8632970195097038
Centralized-DQN,2.261403972581658
