时间步,合作节点,合作节点_std,自私节点,自私节点_std
0,0.502,0.014,0.505,0.01
5,0.559,0.004,0.446,0.007
10,0.611,0.005,0.41,0.008
15,0.65,0.005,0.378,0.004
20,0.691,0.007,0.349,0.005
25,0.723,0.008,0.319,0.009
30,0.75,0.008,0.308,0.004
35,0.77,0.005,0.289,0.006
40,0.787,0.006,0.274,0.005
45,0.808,0.008,0.258,0.005
50,0.831,0.004,0.248,0.006
55,0.839,0.003,0.24,0.008
60,0.85,0.007,0.236,0.014
65,0.863,0.008,0.225,0.006
70,0.87,0.006,0.218,0.003
75,0.88,0.007,0.215,0.009
80,0.885,0.008,0.215,0.01
85,0.896,0.007,0.205,0.006
90,0.902,0.009,0.205,0.009
95,0.902,0.007,0.205,0.007
100,0.914,0.004,0.199,0.009
