训练回合,BC-CTDE-MAPPO,BC-CTDE-MAPPO_std,MAPPO,MAPPO_std,MADDPG,MADDPG_std,IPPO,IPPO_std
10,25.19,1.48,21.15,2.55,18.52,3.3,16.64,3.84
20,32.9,1.45,27.47,2.05,24.26,2.48,22.21,2.78
30,38.87,1.37,31.74,1.97,27.65,2.4,25.17,2.71
40,44.08,1.59,35.43,2.55,30.51,3.23,27.6,3.72
50,47.48,0.95,36.83,1.36,30.67,1.66,27.02,1.88
60,51.82,1.21,40.15,2.03,33.4,2.62,29.43,3.04
70,55.8,2.41,43.32,3.68,36.09,4.58,31.86,5.22
80,59.49,1.29,46.42,2.03,38.81,2.56,34.38,2.94
90,61.44,0.87,47.13,1.26,38.68,1.55,33.68,1.76
100,65.77,1.36,51.83,2.0,43.64,2.47,38.85,2.8
110,67.75,1.75,53.14,2.52,44.45,3.06,39.33,3.45
120,70.37,1.55,55.66,2.31,46.86,2.84,41.67,3.23
130,71.92,0.88,56.72,1.19,47.54,1.42,42.06,1.58
140,73.82,1.85,58.5,2.61,49.18,3.15,43.6,3.53
150,74.86,1.54,59.09,2.16,49.41,2.59,43.54,2.91
160,76.84,1.2,61.29,1.69,51.7,2.04,45.88,2.29
170,78.55,1.22,63.19,1.68,53.67,2.02,47.86,2.26
180,79.93,0.88,64.67,1.16,55.17,1.37,49.34,1.52
190,80.68,1.0,65.26,1.34,55.6,1.58,49.62,1.75
200,81.33,1.51,65.79,2.25,55.99,2.77,49.87,3.15
210,82.48,1.31,67.17,1.92,57.48,2.36,51.39,2.68
220,82.67,1.35,67.11,1.92,57.2,2.32,50.92,2.6
230,84.56,1.14,69.76,1.78,60.34,2.24,54.36,2.57
240,83.88,1.1,68.45,1.47,58.55,1.73,52.19,1.92
250,84.51,1.19,69.22,1.73,59.39,2.11,53.03,2.39
260,85.77,0.67,71.02,0.81,61.52,0.92,55.37,1.0
270,85.54,0.88,70.52,1.13,60.81,1.31,54.46,1.44
280,85.81,1.02,70.83,1.52,61.13,1.89,54.75,2.15
290,86.76,0.76,72.22,0.92,62.81,1.04,56.59,1.13
300,86.81,0.73,72.23,1.15,62.77,1.47,56.49,1.7
310,86.76,0.86,72.1,1.11,62.56,1.3,56.19,1.44
320,87.96,0.86,73.94,1.42,64.84,1.83,58.74,2.12
330,87.48,0.54,73.17,0.84,63.86,1.08,57.58,1.26
340,88.01,0.98,73.97,1.32,64.86,1.56,58.68,1.74
350,87.73,0.59,73.53,0.93,64.3,1.19,58.01,1.39
360,88.45,1.22,74.66,1.63,65.72,1.92,59.61,2.12
370,89.1,1.06,75.68,1.45,66.99,1.72,61.04,1.92
380,88.11,1.24,74.16,1.68,65.1,1.99,58.86,2.22
390,88.61,0.72,74.94,0.87,66.1,0.97,59.99,1.05
400,89.07,0.65,75.69,0.83,67.05,0.97,61.06,1.08
410,89.31,0.67,76.08,0.94,67.57,1.14,61.64,1.29
420,89.03,0.58,75.67,0.77,67.07,0.92,61.07,1.04
430,89.59,0.66,76.58,0.93,68.23,1.15,62.38,1.31
440,89.42,0.52,76.34,0.57,67.96,0.62,62.07,0.66
450,89.77,0.99,76.91,1.29,68.7,1.51,62.92,1.66
460,89.79,1.0,76.97,1.28,68.8,1.47,63.03,1.61
470,89.79,0.7,77.0,0.83,68.87,0.92,63.12,0.99
480,89.23,0.26,76.16,0.58,67.84,0.83,61.95,1.0
490,90.04,0.82,77.45,1.05,69.48,1.22,63.82,1.34
500,89.76,0.85,77.04,1.1,69.0,1.27,63.28,1.4
