训练回合,BC-CTDE-MAPPO,MAPPO,MADDPG,IPPO
10,26.63,22.96,18.86,19.05
20,32.33,26.47,23.1,21.76
30,38.88,30.11,26.15,23.19
40,44.91,35.04,28.49,26.45
50,47.83,38.78,31.73,28.71
60,52.03,41.75,34.71,29.84
70,57.46,42.96,38.35,34.19
80,60.1,46.09,38.93,34.77
90,62.06,49.08,41.01,35.07
100,65.68,51.87,42.61,38.32
110,67.31,52.72,42.86,38.53
120,69.55,54.88,46.08,41.44
130,72.12,55.93,47.7,43.12
140,72.28,57.51,50.99,42.91
150,74.08,60.53,50.34,45.5
160,76.42,62.3,51.98,46.26
170,77.43,62.55,52.94,47.65
180,79.54,64.47,53.29,49.42
190,79.79,65.12,55.91,48.95
200,80.43,65.47,56.63,49.56
210,83.14,67.05,57.57,50.38
220,82.85,68.63,57.38,51.27
230,83.73,68.45,59.6,52.52
240,83.49,70.12,58.7,53.51
250,84.58,68.39,60.57,54.18
260,85.46,70.96,62.13,55.14
270,85.24,71.13,61.0,55.32
280,86.47,71.46,61.83,56.67
290,86.34,72.15,62.74,56.33
300,86.84,71.56,62.95,58.35
310,86.99,72.87,62.94,57.8
320,88.43,73.53,64.18,57.56
330,87.79,74.4,64.09,57.92
340,87.54,73.81,65.19,59.05
350,88.58,74.0,64.95,59.14
360,87.87,74.42,66.37,59.91
370,88.64,75.27,65.71,60.16
380,87.91,75.26,66.22,60.27
390,88.31,75.14,66.96,60.28
400,89.02,75.75,66.44,60.33
410,89.33,75.78,67.25,61.03
420,89.21,76.27,67.88,61.78
430,89.19,75.83,67.06,61.79
440,89.2,76.11,67.9,61.52
450,88.88,76.23,68.13,62.24
460,89.2,76.01,68.48,62.52
470,89.35,76.7,68.0,62.31
480,89.87,76.79,68.15,62.83
490,89.7,76.81,68.87,62.98
500,89.11,76.83,68.94,62.79
